course_id,prereq_id
CLSC560L,CLSC462
CLSC570L,CLSC470
CLSC580L,CLSC480
CLSC580L,480L
CLSC582L,CLSC480
CLSC695,CLSC630
CLSC695,CLSC730
CLSC720,CLSC710
CLSC722,CLSC710
CLSC730,CLSC708
CLSC735,CLSC730
CLSC735,CLSC772
CLSC772,CLSC708
CLSC790,CLSC780
CRMH712,CRMH700
CRMH712,CRMH702
CRMH800,CRMH700
CRMH800,CRMH702
CRMH822,CRMH702
COMM142,COMM140
COMM223,COMM120
COMM230,COMM130
COMM230,COMM140
COMM230,COMM130
COMM312,COMM120
COMM325,COMM120
COMM334,COMM330
COMM360,COMM140
COMM422,COMM120
COMM431,COMM130
COMM431,COMM150
COMM431,COMM130
COMM432,COMM140
COMM433,COMM131
COMM437,COMM160
COMM450,COMM140
COMM453,COMM140
COMM455,COMM140
COMM463,COMM160
COMM463,DRAM120
COMM463,ENGL206
COMM463,ENGL207
COMM463,ENGL208
COMM466,COMM160
COMM472,COMM170
COMM500,COMM170
COMM523,COMM120
COMM524,COMM224
COMM525,COMM120
COMM525,COMM325
COMM526,COMM325
COMM527,COMM325
COMM534,COMM230
COMM535,COMM131
COMM535,COMM330
COMM535,ENGL130
COMM535,132H
COMM537,COMM433
COMM561,COMM160
COMM564,COMM160
COMM568,COMM160
COMM571,COMM170
COMM572,COMM170
COMM573,COMM170
COMM575,COMM170
COMM620,COMM120
COMM622,COMM130
COMM635,COMM230
